电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,
探索中国奶粉新高度,3994000,1178,3235,549,2293,社会科技,暂无评分,评分人数不足,已完结，共1集,0,21,简介：由Discovery探索频道制作出品的一部探索中国奶粉前沿科技的纪录片。探索官瑞丽带着万千奶粉消费者共同关心的问题，来到中国乳品企业——君乐宝乳业集团一探究竟。在这里，从牧草源头到工厂车间的全产业链，科技创新的前瞻性与领先性贯穿其中，让观众看到中国乳业的真实实力与全新风貌。,
送你一片温柔,64000,7,528,31,2948,喜剧剧情爱情,暂无评分,评分人数不足,84,0,1,简介：矮个子出租司机豆豆与高个子导游小姐莉莉是一对青梅竹马的恋人。豆豆怕莉莉嫌他个矮，每逢和莉莉出门就加高皮鞋后跟，为此吃了不少苦头。瘦瘦和女售货员胖胖两人一见钟情，但互相又担心体型的差异会使关系告吹。因此，瘦瘦采用多种方法增肥，胖胖利用各种办法减肥，两人大出洋相。后来，对对恋人彼此间解除了误会，终成伴侣。,
王朝 2,30483000,97000,538000,98000,596000,动物自然,9.8,1878,已完结, 全6集,2,258,简介：从巴塔哥尼亚冰天雪地的安第斯山脉，到赞比亚广袤无垠的平原，再到乞力马扎罗山山麓的辽阔草原，《王朝II》重磅回归——这部系列片比前作更精彩纷呈，内容一波三折，从新颖的角度为观众展现一群极具魅力的动物不为人知的生活面貌。,
迷你天线宝宝,4368000,422,340000,877,6084,少儿,2.7,262,已完结, 全50话,1,104,简介：这是八个可爱的、比天线宝宝小的“兄弟姐妹”形象，他们喜欢一起玩简单的游戏和唱歌。天线小宝们色彩鲜艳，超级可爱，虽然不能像天线宝宝那样走路，但这并不妨碍他们到处爬动和玩耍。活泼好动的天线小宝擅长用肚子拖着自己走。天线小宝们喜欢在魔法小屋里玩游戏。这里安全、温暖、舒适、柔软，就像一个托儿所，里面堆满了玩具。正是在这里，天线宝宝们经常拜访他们的天线小宝，照顾他们，和他们一起玩，帮助他们学习新的歌曲、单词和游戏。,
失意者联盟,8510000,38000,29000,96000,319000,访谈,8.5,182,已完结, 全6集,1,37,简介：由bilibili和智族GQ独家联合出品的实验性微综艺《失意者联盟》正式上线。我们联系了娱乐圈中愿意承认自己“不红”的人——倪虹洁、江映蓉、朱孝天、杨雪、李艺彤，一起聊了聊做一个「失意者」是什么感受？关于「失意」的疑问，我们一起来寻找答案。,
美食、祈祷和恋爱,154000,631,11000,294,4551,剧情爱情,暂无评分,评分人数不足,146,1,16,简介：年轻干练的伊丽莎白·吉尔伯特是《纽约时报》的一名人气作家，她经常周游世界，撰写相关的旅游文章。她的生活同样令人欣羡，丈夫史蒂芬帅气潇洒、气质不凡；饮食无忧、优哉安乐。然而伊丽莎白却渐渐感到空虚和恐慌，似乎着周遭的一切都不是她真正追求的。伊丽莎白决定走出变质的婚姻，寻找自我。在漫长的离婚拉锯战后，她踏上了周游世界的旅途，在美食、祈祷和恋爱中，认真地思考人生的种种……,
冷库,66000,155,1826,34,3510,动作惊悚,暂无评分,评分人数不足,79,0,6,简介：罗伯特桑德斯本是纽约城里一名普通机械师，生活波澜不惊。万没料想到的是，喜庆万分的生日晚宴上，一记重锤把他带入一场诡异莫测的危机中。醒来的罗伯斯发现自己被锁入冷库，寒气侵肌蚀骨，恐惧如影随形。为何至此？何以自救？缘起错认身份，千万巨债加身，俄国罪党索命，负伤警察同行，幽深梦魇，无尽悬疑，噬魂寒气，勇者能否逆转情势，惊天反击？,
女人国的污染报告,191000,353,6632,116,4099,剧情,暂无评分,评分人数不足,93,0,6,简介：源江边的小山村王家坳，在改革中发生了巨大变化。祖和的妻子秀娟在码头路边开了个小卖店，生意十分红火。祖和带着没出嫁的妹妹霞妹干摆渡，起早贪黑，也挣了不少钱。但突然有一天，秀娟发现小卖部的钱匣子里的钱没了，她回忆只有本家大哥祖生来时自己离开过柜台。祖和劝妻子不要生事，霞妹报了案。结果事情传开了......,
碑,838000,923,13000,3904,14000,剧情战争短片,7.8,238,28,1,93,简介：1983年的越南，一个解放军侦查小队被派出执行任务，谁知行踪暴露，越南敌军大举压上，面对强大的敌人，付出巨大牺牲获取敌布防情报的故事。,
板上传奇,211000,318,7572,845,8580,运动,暂无评分,评分人数不足,已完结, 全6集,0,7,简介：奥地利Red Bull滑手和粉丝们最爱的 Madars Apse 带着滑板周游世界，学习了解各地的滑板文化，并以他们自己独特的方式展现给大家。这个系列将以 Madars 的独特视角，易于理解的叙事风格风格，讲述从阿富汗到阿根廷的潮流引领者和滑板创新者的不同故事。,
海岬的迷途之家 ,3672000,13000,185000,9240,32000,动画,9.0,1844,100,12,463,简介：失去居所的17岁少女，和没有血缘的新家人们在可以看见海的古民家展开了不可思议却又令人感到暖心的共同生活。,
千金,19000,12,205,12,83,剧情短片,暂无评分,评分人数不足,21,0,1,简介：从小在单亲家庭长大的李伟决定与岭村女孩刘昕在今日举行婚礼。两人在经历了一整天繁琐的习俗礼节后，在晚宴前发现婚戒弄丢了，为了不让这桩糗事被亲戚们知道和顾及到两家人的颜面，两人做出了艰难的决定。,
一个烂赌的传说,83000,782,1997,187,4159,剧情,暂无评分,评分人数不足,94,0,13,简介：舒奇是一个天生的赌徒，到澳门赌钱，每次都大起大落，因为一次糊里糊涂与艺员雪发生关系，得到三千块，后投注站买马赢了十五万，他便往卡拉OK消遣，认识了逢赌必输、有一个「玻璃骨」症弟弟的妈妈桑——公主。因为欠债，舒奇被禁锢，公主于是致电卡拉OK熟客莫UNCLE求助，莫UNCLE答应了付五十万，但要公主陪他一个月。之后莫UNCLE突然离奇死亡。混乱中，两人在债主FACE哥手中逃出，不久，却再次遇到莫UNCLE，原来他没有死去……,
无人看护,104000,664,3721,94,5476,剧情,暂无评分,评分人数不足,94,0,4,简介：美国南北战争期间，三位留守在家的南方女子（一对白人姐妹和一位女黑奴）在南北战争这死寂又危险的年代流浪奔波着。她们必须设法在两个残暴的离队士兵的铁拳下逃脱并活命，在未知的黑暗未来中杀出一条保卫家乡的血路，一场猫鼠游戏，就此展开...,
捉鬼敢死队2,748000,798,26000,276,6801,喜剧科幻奇幻,暂无评分,评分人数不足,108,0,12,简介：捉鬼敢死队员们又一次拿起武器在曼哈顿与恶魔决斗，在纽约城一场小战争后，敢死队发现一个千年恶魔准备重返地球并对曼哈顿不怀好意，而且通过他的王国---曼哈顿艺术博物馆进行破坏行动，现在只有捉鬼敢死队为了拯救纽约城与恶魔决斗一场……,
蜡笔小新：梦境世界大突击,4946000,21000,2251000,15000,48000,喜剧动画,9.8,2064,97,3,488,简介：每天入夜，当春日部的居民们酣然入睡之后，他们都会来到一个神奇而又美丽的梦中世界中。在那里，他们可以实现一切想要实现的愿望，满足一切渴望满足的要求，这个梦中的世界充满了快乐和幸福。某日，一个名为贯庭玉崎的女孩跟父母一起搬来了春日部市，成为了这个城市中的新的一份子。然而，从那一天开始，大家就再也没有做过美梦了。那个曾经温暖的梦中世界，如今充满了痛苦、悲哀和恐惧，而梦境中的灾难亦渐渐延续到了现实之中...,
马大帅2,3395000,57000,17000,2792,12000,家庭,9.3,213,连载中,1,67,简介：玉芬（艾敬饰）的表妹李萍（宁静饰）是一名小学教师，马大帅（赵本山饰）设立的“大帅打工子弟学校”即将面临被拆迁的命运，在自由撰稿人王斌（赵钢饰）的帮助下，学校总算保住，不仅如此，李萍还跳槽成为了学校中的一名教师。由于王斌的夸大宣传，给外界造成了马大帅的学校免费开放的误解，一时间，学校人满为患，开支也急剧增加。为了维持学校的运作，马大帅几乎倾尽了所有的财力，玉芬和马大帅之间因此产生了矛盾。范德彪（范伟饰）亦在和桂英（高明娥饰）大吵一架后离家出走，来到了马大帅的学校食堂工作。玉芬怀孕了，孩子的父亲是她的前...,
香奈儿秘密情史,195000,431,5124,137,4086,剧情爱情,暂无评分,评分人数不足,111,0,2,简介：1913年的巴黎，可可·香奈儿在俄国作曲家伊戈尔·斯特拉文斯基的《春之祭》首演中首次注意到了这位被观众的嘘声与喧哗沉重打击的音乐天才。七年后，二人再次相遇，可可慷慨邀请因俄国革命而流亡法国的伊戈尔携乐评人妻子卡特琳娜和四名子女搬入自己在巴黎郊外的府邸。随着时间的流逝，可可与伊戈尔之间愈发相互吸引。与此同时，可可也在积极研发自己品牌的香水。病中的卡特琳娜还是察觉了自己丈夫对可可的激情，三人的关系变得越来越紧张……,
美国往事,1007000,12000,138000,5001,20000,剧情犯罪,9.7,629,250,6,160,简介：1933年，纽约流氓Noodles因向哈洛伦警司通风报信害死了三名同伙而被追杀。逃亡之前，他打开了存放帮派基金的手提箱，里面却只有报纸。1968年，已改名换姓的Noodles收到一封犹太会堂通知迁葬亲友的信。Noodles联系拉比，得知信是八个月前寄出的，他的三名同伙已被迁葬至一所豪华公墓。Noodles回到纽约，找老友莫了解情况，却一无所获。闲谈中，Noodles问起莫的妹妹黛博拉的情况，得知其已成名角。原来，两人少时互有好感，但黛博拉志向高远脚踏实地，理智地将街头混混Noodles拒于门外。Noodles在公墓发现了一把钥匙，并用钥匙打开了当年存放手提...,
天使图书馆,34000,195,1655,90,3109,剧情,暂无评分,评分人数不足,109,0,3,简介：故事设定在奈良葛城地区的一家图书馆中，描写新人职员的成长物语。,
诗歌天使,75000,721,5357,197,3391,剧情,暂无评分,评分人数不足,95,0,22,简介：玉置毕业后一直在家中帮忙种地，每天清晨都会看到丸山跑步的身影。玉置觉得这样循规蹈矩的生活太平淡无趣，他梦想成为一名小说家。一次偶然的机会，玉置报名参加了一个培训班，在那里他很开心的演绎着自己的作品。但是当他信心满满的去参加比赛后，突如其来的失败击垮了他，他又变得一蹶不振，与父亲大吵一架。培训班里的一个老爷爷神次郎来到玉置家中看望他，并邀玉置来家中做客...,
再造战士,726000,2992,12000,399,7292,剧情动作科幻,8.9,120,103,0,29,简介：越战后，美国政府进行了一项绝密的科学计划。科学家们将越战中牺牲的士兵的尸体冰冻起来，植入电脑芯片，输入战争程序，讲他们改造成为新一代的战争机器人――“宇宙战士”，这些机器人没有情感和以前的记忆，只有冰冷的杀戮武器。士兵卢克和班长安德鲁就是其中两员，他们被派往参加一场新的战争。战争中，两人的芯片突然出错，令两人都恢复了以前的记忆。卢克记起越战当年正是安德鲁突然性情大变将属下和俘虏都杀光，误闯美军基地的女记者罗伯斯意外获悉了美军这一秘密。本来罗伯斯难逃一死，关键时刻卢克救走了她。于是，美军派出所有的宇宙...,
勇闯无人之境,4937000,5598,58000,4634,30000,人文探险,9.6,231,已完结, 全6集,0,51,简介：自然探险家史蒂夫·巴克肖（Steve Backshall）致力于探索人类从未亲眼看到过的地球尽头，但他只接触到了表层。第二季记录了Steve探索这个星球不为人知的更深的角落。为了完成找到拯救野生动物未来生存状况的新事物，Steve和他的专家团队前往墨西哥的东太平洋与鲨鱼深潜，深入非洲人类从未踏入的丛林寻找猿类，划着俄罗斯远东的白水进入棕熊领地的中心，绳降到沙特阿拉伯古老沙漠的深处，探索一个未绘制的，未知的火山地下世界，并爬上吉尔吉斯斯坦的Djangart山脉，寻找濒临灭绝的雪豹。在这个瞬息万变的星球上，他们因为巨大的野心而下了非常大的赌注。,
工程大麻烦,23054000,5519,82000,9735,44000,科技社会灾难,8.1,256,已完结, 全6集,0,51,简介：现代工程的发展让我们能在巨型飞机、巨型桥梁上或是摩天大楼里保持安全。但是，如果一个这样的巨型工程出错了，会发生什么呢？我们邀请科学家和工程师讨论火车、水坝、建筑物、船只等灾难故事案例，了解为什么它们越大，破坏力也会更大。,
谷粒,40000,110,1654,59,3162,剧情,暂无评分,评分人数不足,128,0,1,简介：故事发生在遥远的未来，彼时，由于环境不断地遭到破坏，已经到了无法修复的地步，地球上的环境早已经不再适宜人类居住了。充满了毒性的突然令农作物无法种植，人类面临着严重的饥荒危机。艾洛尔是受雇于高科技公司的科学家，肩负着制造种子的重任。当他得知一个名为杰米尔的遗传学家能够研究出健康的种子后，他决定跋山涉水的去找他...,
偷猎者,36000,46,1310,120,519,动画短片,暂无评分,评分人数不足,6,0,5,简介：动物们成为了地球的主宰，它们做着曾经的人类对它们做的事情，打猎便是其中之一，男主是一个伪装成猫人的人类，为了不暴露自己的身份，他做着同动物人一样的事情，他在狩猎自己的同胞，狩猎的快感渐渐让他沉迷其中。,
司法科技 守护安全,210000,15,591,173,323,社会罪案,暂无评分,评分人数不足,连载中, 每月30日,0,1,简介：我们正身处一个科技快速发展的变革时代，科技的双刃性在带给我们舒适生活体验的同时，也让犯罪手段日新月异。司法鉴定站在与各类科技犯罪斗争的最前线，掌握着最前沿的犯罪情报。实践发现，由于公众缺少相应知识和警惕性而遭受侵害的案件数量逐年升高。在扼腕痛惜的同时，希望通过警示类科普项目，提升社会对新型犯罪手法的认知，有效防范、规避各类陷阱、风险，树立警戒意识，守护自身安全。同时也希望通过知识传播，让司法鉴定服务不再限于案发后的证据固定，而是将犯罪行为扼制在萌芽中，与各方共同创建安全稳定和谐的社会环境。,
鳄鱼波鞋走天涯,155000,2188,13000,1441,5958,剧情,9.8,408,98,1,108,简介：故事发生在一个宁静的小镇里，德斯特和艾瑞克是一对毗邻而居的同龄人。一场医疗事故打破了德斯特的平静生活，由于医疗设备的污染，德斯特在输血的过程中感染了可怕的艾滋病。尽管不幸从天而降，并非谁的过错，但德斯特一家还是遭到了居民们的孤立和排挤。在大家眼里，艾瑞克是一个让人头疼的孩子，性格孤僻的他似乎和谁都处不好关系。某一日，隔着一道竹篱笆，艾瑞克和德斯特相遇了...,
一叶小舟,26000,17,510,55,2710,剧情,暂无评分,评分人数不足,90,0,0,简介：秋天的早晨，何鸣和阿芬这一对勤劳的中年夫妇，载着满筐猪娃，摇着小船向镇上驶去。梁溪镇的早市繁荣而喧闹，玩蛇人颈上的大蟒，说书人口中的"七侠五义"，茶楼上演评弹"十美图"的大海报，吸引着镇上的人们，更吸引人的是镇上新盖起的影剧院。老人们感叹地说：想不到梁溪也有了大戏馆。黄昏，阿芬边煎鱼边哼着锡剧，何鸣悠然地拉着二胡伴奏。青年炳昌带来消息，于主任的表弟、文化站的王站长要出任影剧院经理了。阿芬对丈夫说自己对此不感兴趣...,
变形金刚：救援汽车人 第三季,178000,232,7186,96,2540,少儿,暂无评分,评分人数不足,已完结, 全26话,0,6,简介：变形金刚系列动画主要讲述的是在遥远的宇宙中有一个星球--Cybertron.星球上有一种金属生命体，他们在近百万年间分化成正义的博派--汽车人和邪恶的狂派--霸天虎。两军进行了几百万年的战争，星球能源耗尽霸天虎追随汽车人来到了地球。飞船坠毁在一座火山中。四百万年后，火山爆发飞船的主计算机——显像1号启动，并按飞机和汽车的形态改造两军。战争在地球上展开，到了2000年，汽车人与霸天虎展开血战。汽车人的首领擎天柱向宇宙发布了消息，希望分散在在宇宙各处的汽车人沿发布的坐标加入他们。一直在远处等待任务的救援部队E-17根据消息来到地...,
变形金刚：救援汽车人 第三季 中文配音,308000,962,7186,311,5433,少儿,暂无评分,评分人数不足,已完结, 全26话,0,2,简介：变形金刚系列动画主要讲述的是在遥远的宇宙中有一个星球--Cybertron.星球上有一种金属生命体，他们在近百万年间分化成正义的博派--汽车人和邪恶的狂派--霸天虎。两军进行了几百万年的战争，星球能源耗尽霸天虎追随汽车人来到了地球。飞船坠毁在一座火山中。四百万年后，火山爆发飞船的主计算机——显像1号启动，并按飞机和汽车的形态改造两军。战争在地球上展开，到了2000年，汽车人与霸天虎展开血战。汽车人的首领擎天柱向宇宙发布了消息，希望分散在在宇宙各处的汽车人沿发布的坐标加入他们。一直在远处等待任务的救援部队E-17根据消息来到地...,
小恐龙可可奈 第二季,256000,37,2083,133,2179,少儿,暂无评分,评分人数不足,已完结, 全52话,0,14,简介：《小恐龙可可奈》(Coconut, the little dragon)是根据畅销儿童书改编，原书在全球热卖超过 6 百万本丶翻译超过 20 种语言，深受小朋友们喜爱。 《小恐龙可可奈》第二季，讲述小恐龙可可奈和他的好朋友：美食龙奥斯卡以及小刺猬滴哒，在恐龙岛显得有点格格不入，可可奈还是飞行学院最差的学生，素食主义者奥斯卡在无肉不欢的美食龙中显得很另类，生活在身边全是恐龙的小岛上，滴哒的生活也没那么容易。对于所有人来说，岛上生活着习惯各异的恐龙，大家一起和谐相处很不简单。在新一季的冒险中，可可奈，奥斯卡和滴哒又认识了许多神奇的恐龙，可...,
洛克人：全面充能 第一季,122000,136,2547,82,2442,少儿,2.8,158,已完结, 全52话,0,49,简介：多年以来，人类和机器人都和平共处，生活在高科技的硅谷市。然而，总有那么一些人想要打破这种和谐的局面。不相信机器人和人类可以共存的破坏分子在硅谷市兴风作浪，肆意破坏。幸运的是，硅谷市有位守护者：阿奇·莱特，一个看似普通，开朗乐观的机器人男孩，但他有个秘密：他可以随时变身为洛克人，拥有超级英雄的能力。在对抗各个邪恶机器人，维护硅谷市和平的道路上，精彩的冒险等着洛克人。他还有家人和他并肩作战：他的创造者兼父亲，莱特博士；姐姐苏纳；机器人小狗莱西。阿奇需要学会平衡他的机器人日常生活以及超级英雄生活。好了，是时候变身了！,
洛克人：全面充能 第一季 中文配音,368000,390,2547,318,4142,少儿,暂无评分,评分人数不足,已完结, 全52话,1,20,简介：多年以来，人类和机器人都和平共处，生活在高科技的硅谷市。然而，总有那么一些人想要打破这种和谐的局面。不相信机器人和人类可以共存的破坏分子在硅谷市兴风作浪，肆意破坏。幸运的是，硅谷市有位守护者：阿奇·莱特，一个看似普通，开朗乐观的机器人男孩，但他有个秘密：他可以随时变身为洛克人，拥有超级英雄的能力。在对抗各个邪恶机器人，维护硅谷市和平的道路上，精彩的冒险等着洛克人。他还有家人和他并肩作战：他的创造者兼父亲，莱特博士；姐姐苏纳；机器人小狗莱西。阿奇需要学会平衡他的机器人日常生活以及超级英雄生活。好了，是时候变身了！,
狙击手：特别行动,85000,159,486,39,4113,剧情动作战争,暂无评分,评分人数不足,82,1,12,简介：维克·莫斯比带领着六人小组在狙击手杰克·钱德勒的掩护下潜入村庄营救参议员库伯，在与大部队汇合时，杰克在小巷遭到埋伏，展开激战，他的观察员被打伤，而大部队也为了减少伤亡而抛弃了杰克。回到基地后，维克决心要回到前线救好友杰克，却遭到了杰克逊中校的反对。此时的杰克孤注一掷，只得提心吊胆，提防攻击...,
天堂回信,144000,1705,13000,1639,6957,剧情,9.9,233,87,2,84,简介：1990年代，北京。晨晨的爸妈在国外工作，他平日与爷爷一起生活。爷爷干了一辈子邮政工作，退休后与孙儿相依为命。一天，祖孙俩把一封已故去的收信人的信件系在风筝上放飞天空，爷爷告诉晨晨：他在天堂会收到的。不久，妈妈从国外回来了，她看不惯公公对晨晨的放任，每天给晨晨布置了英语、钢琴等课程，原有的平静不见了，爷爷搬回了自己的旧居...,
东归英雄传,140000,474,1690,218,714,,暂无评分,评分人数不足,已完结, 全35集,0,6,简介：十七世纪三十年代，为了躲避势力日益强大的准噶尔部的威胁，蒙古土尔扈特人西迁至俄国境内伏尔加河流域游牧。伏尔加草原土肥水美，远离战争，使饱经战火洗礼的牧民们终于找到了安静和平之地。但谁也没料到他们很快又坠入俄国沙皇的恐怖统治之下，因为此时正值俄国历史上的横征暴敛的女沙皇叶卡特琳娜二世当权的年代，她推翻丈夫彼得三世沙皇上台，对外大肆侵略扩张，最后女沙皇竟然强迫土尔扈特部落的牧民们参加侵略土耳其的战争。然而这时一个注定未来引领土尔扈特牧民们逃出沙皇魔掌的英雄人物--渥巴锡诞生了。1761年，土尔扈特部首领敦罗卜...,
宠物情人,48000,15,1111,14,160,剧情短片,暂无评分,评分人数不足,15,0,2,简介：度完蜜月回来后的一个月里，埃菲娅偶然间发现自己看似完美的丈夫结婚之前就出轨了。这一天，她决定去见见这个女人。,
伞,16000,26,216,7,95,剧情短片,暂无评分,评分人数不足,5,0,4,简介：Jack是一名电影特效道具师，一天夜里他在工作室加班做道具，感到困意的他整理好自己的道具上楼，他在发信息时候突然察觉身后有响动，可他转身什么都没有发现，这时楼下的灯熄灭了。,
天使与魔鬼,1080000,5499,145000,1085,10000,动作惊悚悬疑,8.6,351,146,3,78,简介：欧洲核子中心的科学家维多利亚·维特勒与父亲在高速粒子对撞机实验中收集到了反物质，却发现父亲遇害，尸体胸口被烙“光照派”符号，高爆炸性的反物质被偷走，出现在正待选新教皇的罗马梵蒂冈，威胁天主教廷及整个罗马的安危。于此同时，四位主要教皇候选人的红衣主教神秘失踪...,
精灵旅社2,3960000,5068,214000,2997,18000,喜剧奇幻动画,9.6,516,89,0,97,简介：经过一番艰难的考验，吊儿郎当的人类青年乔纳森终于和吸血鬼女郎梅菲丝携手走入婚姻的殿堂，而以梅菲丝的父亲德古拉为代表的怪物们，和人类的关系前所未有地密切起来。婚后不久，梅菲丝生下了可爱的儿子丹尼斯。小家伙一天天长大，外公德古拉对他疼爱有加，他热切期望丹尼斯能够成长为出色的吸血鬼。与之相对，梅菲丝认定儿子是一个普通的人类小孩，她希望能带丹尼斯走进文明社会，远离暴力血腥的怪物世界。为了阻止女儿一家的离开，德古拉想办法支走梅菲丝，同时叫上科学怪人、狼人、透明人、木乃伊等一帮死党，要在有限的时间里对丹尼斯展开...,
精灵旅社3：疯狂假期,2103000,5897,214000,2298,15000,喜剧奇幻动画,7.2,481,97,1,98,简介：子孙满堂，亲朋和睦，吸血鬼伯爵德古拉在享受生命中最美好的一段时光。只不过喧嚣过后，他也陷入深深的落寞中，似乎冷酷的伯爵也开始期待美好的爱情了。善解人意的梅菲丝看透了老爸的心思，于是带着家人和朋友们踏上了一段充满惊喜的意外之旅。在百慕大的怪兽游轮上，德古拉邂逅了美丽的人类船长艾丽卡，他对这个美人一见钟情，却没有意识到对方来自死对头的范·海辛一族。与怪兽们缠斗上百年的亚伯拉罕·范·海辛，意图利用这次千载难逢的机会将死对头德古拉以及他的伙伴们一网打尽……,
神秘博士 第十三季 ,1420000,7823,177000,1629,6912,悬疑剧情家庭,8.5,197,已完结, 全6集,4,51,简介：《神秘博士》第13季宣布开拍。运作人ChrisChibnall透露新季将缩短为8集，因为该剧拍摄的复杂性，在新冠疫情下拍每一集所需的时间延长了，“不过《神秘博士》的雄心、幽默、乐趣和惊吓是不会少的。如今对全世界来说充满考验，但博士从不逃避挑战”。,
碧血宝刀,71000,132,938,40,2967,动作,暂无评分,评分人数不足,89,0,2,简介：清朝道光皇帝因一时震怒，命侍卫王得宝持宝刀杀了宠妃，但片刻之后立即后悔，于是命王得宝携宝刀远走他乡。此时，江南一恶霸凭借一对鸳鸯宝剑，欺男霸女，无恶不作。武林豪杰裘文焕为铲除恶霸，历经艰辛险阻，终于在民间找到了道光皇帝当年赐给御前卫士王得宝的一把宝刀，用这把宝刀为民除害。,
界,41000,72,864,47,372,剧情短片,暂无评分,评分人数不足,8,0,5,简介：万物都存在交界处，在这个画展展馆里每天一到某一时分，现实与虚幻的交界就开始模糊。到底谁真谁假，谁是画谁是人，都要看最后一刻在哪停留……,
机智的监狱生活,28495000,233000,322000,45000,207000,剧情,9.7,4413,已完结, 全16集,7,1054,简介：该剧是讲述超级巨星棒球选手金济赫一夜之间变成阶下囚，以及监狱里的人们的生活的黑色喜剧，该剧内容以监狱为背景，通过犯人、监狱管教、家属等角色展现各自的独特个性和存在感，展现给大家监狱这个特殊背景下并不沉重的故事。,
历史小胶囊,3048000,2795,39000,2524,27000,历史社会,暂无评分,评分人数不足,已完结, 全9集,0,15,简介：《历史小胶囊》是一部新颖的历史纪录片，本片以优质档案和令人惊叹的数字图表具象地呈现历史古树。这个具有里程碑意义的系列讲述了过去100年里最大的发展，并将它们分解为快节奏的、易于理解的20分钟内容，有助于回答一些大问题:为什么世界是这样的，我们是如何来到这里的?,
音乐僵尸,2205000,12000,33000,4406,30000,喜剧奇幻,9.4,573,94,0,131,简介：茅山道士麻麻地与同行不和，带着两个徒弟阿豪和阿强另起炉灶，在江南一带赶尸为业。两个徒弟顽劣非常，经常操纵僵尸互相对打。阿豪自认法术修成，请求师傅让其独立赶尸。得到师傅应允，阿豪赶着一只大地主任天棠的僵尸独自上路...,
入殓师,17592000,59000,278000,52000,108000,剧情,9.8,6652,130,42,1353,简介：买了昂贵的大提琴，想要成就一番事业的小林大悟（本木雅弘饰），经历了4个月的管弦乐演奏，得到的却是“乐团解散”的噩耗与购买乐器的高昂债务。迫不得已，大悟与妻子美香（广末凉子饰）搬到老屋，过着清贫的日子。某日，一则广告吸引了大悟的注意：NK代理公司，帮助旅行，高薪短工时。大悟来到NK代理公司面试，社长佐佐木生荣（山崎努饰）二话不说就决定聘用大悟，但却对工作内容避而不谈。在大悟的再三追问下，佐佐木社长终于道明：是入殓工作！虽然心理上有所忌惮，高额的薪水还是令大悟接受了这份工作。但这样的工作对普通人谈何容易，一方...,
生和活,24000,63,635,60,954,社会,暂无评分,评分人数不足,已完结，共1集,1,1,简介：《生和活》是一部采用法国纪录片流派“真实电影”的创作方法来完成的纪录短片。全片随机采访身处上海郊区古镇的各种人，向他们提出人生三问：你是谁？你从哪里来？生活得怎么样？通过以上普适性的问题，将“生活”拆分成“生”和“活”，让每个人重新看待和思考自己的生活。回答是一种“对境”，折射出每个回答者的身份、阶层、处境和心境。,
今夜今夜多烦忧,7456,28,160,23,65,剧情短片,暂无评分,评分人数不足,18,0,2,简介：陈勇连续几天梦到父亲去世时，父亲告诉他，在家族果园里埋着一箱金子，这让他对过去的记忆产生怀疑，是否父亲去世时真的告诉过自己关于金子的秘密，他决定去寻找答案。他找到他的大姐，询问关于金子的秘密，大姐坚信不存在什么金子……,
大丈夫,854000,7197,24000,2563,12000,剧情喜剧,9.5,296,98,0,71,简介：一天，郭天佑、李永祥、徐娇及洪国波四人突然不约而同离开工作岗位，换上他们绝少穿着的黑色西装，搭上毫不起眼的普通的士，准备进行一项神秘行动。他们小心策划，部署一切，务求不会浪费时间。如期出发后，行动却意外频生、处处碰壁，大家开始怀疑意外并非偶然，而是有人暗中破坏，甚至怀疑四人中有告密者存在...,
勇敢者游戏：决战丛林,1172000,4051,32000,787,9883,喜剧动作奇幻冒险,8.3,271,119,0,40,简介：斯宾塞、“冰箱”弗里奇、贝瑟尼和玛莎是某高中的问题学生，这一日他们因不同的错误而被留校劳动。在一间堆满陈旧废弃物的储藏室内，斯宾塞发现一台年代久远的游戏机。四人原本想放松一下，谁知却被吸进了游戏机中…,
疯狂的乔治王,100000,725,6087,241,4869,剧情喜剧传记历史,暂无评分,评分人数不足,107,0,13,简介：故事发生在公元1788年，乔治三世带领着他的人民和军队逐渐在欧洲大陆站稳了脚跟，整个国家在乔治王的英明领导下安乐富足，生机勃勃。然而某一日，乔治王忽然患上了精神病，疯疯癫癫，胡言乱语，首相彼得感到焦急万分，找来各路名医，却都无法治好乔治王，亦查不出患病的原因...,
综艺哔哔姬,39341000,14000,49000,17000,483000,,暂无评分,评分人数不足,连载中,无,无,简介：有热点、能挖宝、会吐槽，这么可爱的“综艺哔哔姬”不值得拥有吗？,
机智的医生生活 第二季,23594000,119000,256000,42000,136000,剧情,9.8,4102,已完结, 全12集,4,969,简介：在医院里，每位病人及每件事都至关重要，身为医生同时也是平凡人的五人帮，将在此面对人生的起起落落。,
陷入纯情 ,5321000,24000,38000,3320,12000,剧情,暂无评分,评分人数不足,已完结, 全16集,0,104,简介：供职于世界最大金融公司GoldPartners的资深投资专家姜敏浩（郑敬淏饰）拥有令人欣羡的社会地位以及迷人出众的气质，但是他骨子里却是个冷酷狠毒的暴君。一步步走上业界顶点的过程中，无数企业和员工葬身在他扩张征伐的车轮之下，成为敏浩功成名就的牺牲品。当然他的暴虐却是由许多原因造成的，25年前他的家族遭到前所未有的巨变，叔父从他的手中夺走了父亲留下的公司，而自己从出生那一刻起就被诊断患有扩张性心肌病，随时都可能死亡。为了完成对叔父的复仇，敏浩全速奔跑，却最终被病魔击倒。当他接受心脏移植手术醒来后，意外发现其内心的坚...,
